statistic,value,notes
Confirmed Reported Change,48,""
Confirmed Added,52,"Jermaine,Doreen,Sacha,Marjorie,Gwendolen,Gene,Rowan,Todd,Garth,Oscar,Gwenyth,Alissa,Rachael,Alanna,Dorothea,Kaylah,Aisha,Emmeline,Navy,Lexus,Carmel,Reese,Britney,Alana,Penny,Donna-Marie,Kara,Aiden,Cleo,Gilbert,Clayton,Taniela,Dexter,Declan,Ajay,Che,Rocky,Kase,Lucca,Timothy,Keanu,Derek,Brenton,Taryn,Athena,Carolyn,Luisa,Maiya,Kristy,Juno,Bruno,Arran,Gene,Jermaine,Alanna"
Confirmed Removed,-4,"Jillian,Ash,Kiana,Reuben"
Confirmed Change,48,"Integrity Check Passed"
Probable Reported Change,10,""
Probable Added,13,"Fern,Verity,Petrina,Angela,Lyn,Hinerangi,Coral,Marsha,Bowen,Joffre,Chris,Brett,Luna"
Probable Removed,-3,"Gene,Jermaine,Alanna"
Probable Change,10,"Integrity Check Passed"
