statistic,value,notes
Confirmed Reported Change,60,""
Confirmed Added,63,"Letitia,Cecily,Annaliese,Pare,Julie,Jacquelyn,Deirdre,Amira,Matekino,Jayme,Rhys,Sandy,Jennie,Sarina,Alison,Harold,Aston,Damon,Dorothy,Roseanna,Asher,Mia,Fox,Darran,Lauren,Cynthia,Ethan,Shreya,Katherine,Edison,Richelle,Scarlet,Danelle,Valarie,Shaye,Jeanette,Anjali,Kezia,Hadassah,Jethro,Freya,Ryan,Alizae,Willie,Kathy,Mercedez,Shawn,Sophia,Kyah,Mervyn,Troy,Nerissa,Storm,Clifford,Coby,Mae,Hope,Aaliyah,Aidan,Fleur,Darian,Gael,Bryony"
Confirmed Removed,-3,"Stacy,Alistair,Simran"
Confirmed Change,60,"Integrity Check Passed"
Probable Reported Change,3,""
Probable Added,6,"Tia,Beulah,Theresa,Micheal,Lynda,Jennifer"
Probable Removed,-3,"Darian,Gael,Bryony"
Probable Change,3,"Integrity Check Passed"
