statistic,value,notes
Confirmed Reported Change,47,""
Confirmed Added,53,"Aliesha,Kristina,Jo-anne,Mary-Anne,Peggy,Shelly,Kiriana,Louis,Kian,Elias,Talia,Colleen,Isla-Rose,Edith,Abbey,Dontae,Tyrell,Brendan,Bella,Eliana,Pamela,Brianna,Aarav,Koby,Krish,Ayva,Beatrice,Gaynor,Jeannette,Loraine,Jazmine,Melody,Vicki,Erena,Rhonda,Treena,Hine,Gina,Esha,Rita,Laura,Vickie,Pyper,Carmen,Stefan,Basil,Mateo,Julian,Anton,Ronald,Conrad,Maximilian,Johnathan"
Confirmed Removed,-6,"Ria,Sacha,Petra,Laila,Tanner,Marley"
Confirmed Change,47,"Integrity Check Passed"
Probable Reported Change,14,""
Probable Added,14,"Maryann,Kaden,Caelan,Graeme,Sawyer,Kay,Kirstin,April,Emilia,Maddox,Richie,Jordy,Arnav,Kevin"
Probable Removed,0,""
Probable Change,14,"Integrity Check Passed"
