statistic,value,notes
Confirmed Reported Change,2,""
Confirmed Added,2,"Lana,Nanette"
Confirmed Removed,0,""
Confirmed Change,2,"Integrity Check Passed"
Probable Reported Change,3,""
Probable Added,3,"Poppy,Rocco,Alexi"
Probable Removed,0,""
Probable Change,3,"Integrity Check Passed"
