statistic,value,notes
Confirmed Reported Change,54,"Official count 52, snapshot contains 2 extra"
Confirmed Added,54,"Dayna,Shauna,Susanne,Zaria,Lazarus,Keryn,Jayce,Sheree,Kayson,Omar,Evelyn,Kruz,Danté,Hendrix,Carrie,Waimirirangi,Fred,Cassandra,Hawaiki,Sharee,Halle,Kingsley,Edwina,Rowland,Gregor,Wyatt,Sariah,Monica,Jericho,Roderick,Alfie,Shavaughn,Freddie,Freyja,Harleen,Phoebe,Chanelle,Loma,Bobby,Tricia,Marlee,Adam,Samaira,Alexandra,Carson,Matteo,Miranda,Emmett,Nikora,Charles,Glenis,Alyse,Annie,Cherie"
Confirmed Removed,0,""
Confirmed Change,,"Integrity Check Passed"
Probable Reported Change,32,"Official count 30, snapshot contains 2 extra"
Probable Added,32,"Eileen,Kaira,Colin,Jo-Ann,Allie,Braydon,Clark,Jolene,Terina,Matt,Victoria,Nardia,Nova,Gaylene,Alecia,Antonio,Lyndsey,Brock,Darrel,Daren,Taj,Shanice,Natalia,Grant,Malia,Knox,Carwyn,Pita,Anne-Marie,Dominic,Andrea,Evander"
Probable Removed,0,""
Probable Change,,"Integrity Check Passed"
