statistic,value,notes
Confirmed Reported Change,48,""
Confirmed Added,48,"Nardia,Kristie,Adeline,Holden,Karson,Henare,Annabelle,Deacon,Barbara,Octavia,Steffan,Chantal,Finn,Chaz,Erika,Hilda,Devin,Briana,Dulcie,Angad,Kobe,Avah,Jim,Ngakau,Karli,Edwin,Max,Tammy,Hao,Philip,Dillon,India,Myla,Sade,Bertie,Donna,Mathilda,Ben,Pieter,Harvey,Darrin,Cruze,Sheryn,Stuart,Desiree,Lyndon,Moreen,Ralph"
Confirmed Removed,0,""
Confirmed Change,48,"Integrity Check Passed"
Probable Reported Change,41,""
Probable Added,43,"Kanye,Marian,Frederick,Janeen,Cushla,Harriet,Jaya,Clarence,Amber,Ani,Soane,Natasha,Christine,Ryleigh,Mana,Moana,Te Aroha,Tai,Alisha,Teagan,Dillan,Duncan,Reed,Eseta,Neihana,Albert,Daryn,Clyde,Kayla,Archibald,Murray,Raphael,Juanita,Rodney,Lakyn,Harris,Lockie,Shauni,Beth,Jarred,Una,Nikolai,Frida"
Probable Removed,-2,"Braydon,Nardia"
Probable Change,,"Integrity Check Passed"
