statistic,value,notes
Confirmed Reported Change,2,""
Confirmed Added,5,"Ivory,Darren,Johnathon,Alba,Jacinda"
Confirmed Removed,-3,"Violet,Nicolas,Carrol"
Confirmed Change,2,"Integrity Check Passed"
Probable Reported Change,6,""
Probable Added,10,"Tania,Lani,Cathrine,Shay,Darcey,Te Rina,Michael,Tayla,Maci,Jodene"
Probable Removed,-4,"Frederic,Loki,George,Jacinda"
Probable Change,6,"Integrity Check Passed"
