statistic,value,notes
Confirmed Reported Change,76,"Israel,Paora,Kiri,Lia,Gabrielle,Dionne,Kendra,Petra,Ida,Virginia,Demelza,Mila,Lavinia,Tanner,Milton,Marcel,Shane,Franciscus,Richard,Mareikura,Ariella,Kate,Nyla,Laila,Cerys,Angeline,Jemma,Wendy,Vienna,Tilly,Esmé,Eloise,Allison,Delta,Kaylene,Rochelle,Avleen,Lillie,Tracee,May,Neve,Tamzin,Jayne,Niamh,Alicia,Phylis,Gretchen,Breeze,Melanie,Edie,Joycelyn,Te Ariki,Reihana,Justin,Jack,Beau,Jonah,Caine,Conan,Jai,Calvin,Kairo,Sheldon,Hare,Kabir,Kurtis,Johnny,Reuben,Sharn,Heath,Luther,Roger,Jairus,Greg,Jock,Marley"
Confirmed Added,77,""
Confirmed Removed,-1,"Cecilia"
Confirmed Change,76,"Integrity Check Passed"
Probable Reported Change,-1,""
Probable Added,4,"Meera,Gene,Gregory,Alanna"
Probable Removed,-5,"Miley,Anaru,Kiaan,Dhruv,Tia"
Probable Change,-1,"Integrity Check Passed"
