statistic,value,notes
Confirmed Reported Change,1,""
Confirmed Added,1,"Jeannie"
Confirmed Removed,0,""
Confirmed Change,1,"Integrity Check Passed"
Probable Reported Change,1,""
Probable Added,1,"Ty"
Probable Removed,0,""
Probable Change,1,"Integrity Check Passed"
