statistic,value,notes
Confirmed Reported Change,2,""
Confirmed Added,3,"Alexandria,Zahara,Lilly"
Confirmed Removed,-1,"Britney"
Confirmed Change,2,"Integrity Check Passed"
Probable Reported Change,4,""
Probable Added,4,"Shelby,Sheryll,Jacqui,Cian"
Probable Removed,0,""
Probable Change,4,"Integrity Check Passed"
