statistic,value,notes
Confirmed Reported Change,6,""
Confirmed Added,6,"Carrol,Violet,Nicolas,Bertram,Guy,Nellie"
Confirmed Removed,0,""
Confirmed Change,6,"Integrity Check Passed"
Probable Reported Change,0,""
Probable Added,3,"Sinead,Barrie,Marjory"
Probable Removed,-3,"Marlene,Guy,Nellie"
Probable Change,0,"Integrity Check Passed"
