statistic,value,notes
Confirmed Reported Change,58,"32+26"
Confirmed Added,63,"Darrel,Amber,Ani,Cheyanne,Cullen,Axl,Layton,Caitlin,Nixon,Raymond,Anna-Marie,Taimana,Renae,Micah,Glennis,Shontelle,Herbert,Arlo,Amreen,Olly,Claire,Livia,Joseph,Gurfateh,Kirby,Tahlia,Minnie,Melville,Elyse,Keith,Mac,Bianca,Raquel,Cassius,Kendyl,Wi,Alanah,Allan,Josiah,Ophelia,Elizabeth,Jensen,Christian,Ngahuia,Monika,Hubert,Kora,Valma,Joyce,Mischa,Priscilla,Giselle,Euan,Antonius,Meadow,Connie,Taine,Honour,Rayan,Khushi,Barney,Lacey,Cassie"
Confirmed Removed,-5,"Damon,Julie,Audrey,Rhiannon,Kase"
Confirmed Change,95,"Integrity Check Passed"
Probable Reported Change,46,"22+24"
Probable Added,54,"Maureen,Kathryn,Niko,Phillipa,Jacqualine,Hans,Nora,Catriona,Claudia,Cain,Phillippa,Donald,Shanan,Ari,Charlee,Damian,Fletcher,Marina,Jeffrey,Raiha,Julie-Anne,Inaaya,Ngaere,Semisi,Margery,Loki,Jana,Kaydence,Braedyn,Arapeta,Xin,June,Kelsey,Joleen,Sol,Chance,Macey,Levonne,Lucian,Brittany,Oswald,Linkin,Layla,Jocelyn,Jean,Lynne,Katana,Julie-Ann,Debbie,Autumn,Sadie,Noreen,Odette,Madelyn"
Probable Removed,-8,"Leesa,Clyde,Albert,Abel,Darrel,Amber,Ani,Cheyanne"
Probable Change,46,"Integrity Check Passed"
