statistic,value,notes
Confirmed Reported Change,47,""
Confirmed Added,49,"Mercedes,Elijah,Reilly,Teresa,Gerald,Sharon,Matilda,Rena,Enid,Conor,Vikki,Bryce,Zayne,Will,Megan,Kobi,Wade,Maisey,Eunice,Vernon,Brad,Malcolm,Danyon,Clinton,Bernadine,Drake,Susan,Valentina,Aleena,Zeke,Ayla,Melva,Keira,Steve,Franklin,Jiya,Maverick,Deane,Primrose,Louise,Breanna,Enoch,Eugene,Rohan,Maximus,Arron,Savannah,Darlene,Kade"
Confirmed Removed,-2,"Reginald,Austin"
Confirmed Change,47,"Integrity Check Passed"
Probable Reported Change,20,""
Probable Added,24,"Iain,Helen,Elsie,Nickolas,Nelson,Annemarie,Clifton,Kimberly,Oskar,Soul,Aryan,Philippa,Dana,Brodie,Ali,Demi,Viliami,Ivar,Verna,Jaydah,Leona,Wiremu,Corinna,Perry"
Probable Removed,-4,"Savannah,Darlene,Kade,Mark"
Probable Change,20,"Integrity Check Passed"
