statistic,value,notes
Confirmed Reported Change,1,"Official count 2, snapshot contains only 1"
Confirmed Added,1,"Terence"
Confirmed Removed,0,""
Confirmed Change,1,"Integrity Check Passed"
Probable Reported Change,1,"Official count 0, snapshot contains 1 extra"
Probable Added,1,"Arie"
Probable Removed,0,""
Probable Change,1,"Integrity Check Passed"
