statistic,value,notes
Confirmed Reported Change,6,""
Confirmed Added,9,"Portia,Benedict,Ollie,Azaria,Carrol,Jahziah,Eleanor,Raewyne,Jordy"
Confirmed Removed,-3,"Marian,Jarred,Harmony"
Confirmed Change,6,"Integrity Check Passed"
Probable Reported Change,9,""
Probable Added,10,"Jacinda,Frederic,Pippa,Rico,Amara,Alister,Xanthe,Shirlene,Marissa,Collin"
Probable Removed,-1,"Jordy"
Probable Change,9,"Integrity Check Passed"
