statistic,value,notes
Confirmed Reported Change,76,""
Confirmed Added,77,"Jeanine,Tanisha,Ariel,Kylee,Gia,Zita,Cadence,Vivienne,Meg,Patience,Ana,Azalea,Jurnee,Rangimarie,Belle,Constance,Naia,Maddison,Lorraine,Nona,Terrance,Damien,Felix,Roland,Walter,Moses,Zephyr,Solomon,Seamus,Cyril,Tom,Wilson,Hohepa,Hugo,Rylan,Gavin,Elton,Dougal,Austin,Alan,Terrence,Legend,Blair,Ariana,Myrna,Aliyah,Annalise,Samson,Reginald,Bronwen,Dianne,Ina,Kowhai,Lexie,Glenys,Ebony,Sharlene,Roimata,Gay,Jazmin,Gwendolyn,Saphire,Adrian,Fergus,Ricco,Reon,Arnold,Luka,Cruz,Trevor,Gabriel,Elliot,Myles,Brady,Boyd,Quintin,Van"
Confirmed Removed,-1,"Maddie"
Confirmed Change,76,"Integrity Check Passed"
Probable Reported Change,13,"Myrtle,Madisyn,Savannah,Darlene,McKenzie,Saffron,Aila,Ivor,Kade,Petrus,Dustin,Nash,Mark,Ernest"
Probable Added,14,""
Probable Removed,-1,"Caelan"
Probable Change,13,"Integrity Check Passed"
