statistic,value,notes
Confirmed Reported Change,4,""
Confirmed Added,4,"Jeanne,Neo,Ronan,Tayla"
Confirmed Removed,0,""
Confirmed Change,4,"Integrity Check Passed"
Probable Reported Change,5,""
Probable Added,6,"Dayton,Thea,Gemma,Blanche,Vilma,Dora"
Probable Removed,-1,"Tayla"
Probable Change,5,"Integrity Check Passed"
