statistic,value,notes
Confirmed Reported Change,4,""
Confirmed Added,4,"Corbin,Brylee,John,Rhoda"
Confirmed Removed,0,""
Confirmed Change,4,"Integrity Check Passed"
Probable Reported Change,5,""
Probable Added,6,"McKenna,Rosaline,Carter,Kirsten,Huxley,Denise"
Probable Removed,-1,"Sina"
Probable Change,5,"Integrity Check Passed"
