statistic,value,notes
Confirmed Reported Change,8,""
Confirmed Added,9,"Zelma,Meghan,Zoë,Eric,Violet,Theia,Cortez,Rikki,Noah"
Confirmed Removed,-1,"Redvers"
Confirmed Change,8,"Integrity Check Passed"
Probable Reported Change,9,""
Probable Added,12,"Tumanako,Michaela,Liberty,Estella,Leia,Maui,Clare,Aliya,Vivien,Edward,Madden,Alia"
Probable Removed,-3,"Caden,Duncan,Lockie"
Probable Change,9,"Integrity Check Passed"
