statistic,value,notes
Confirmed Reported Change,95,"23+23+20+14+15"
Confirmed Added,97,"Andrea,Gaylene,Matt,Jarred,Irene,Billy,Johnson,Joleen,Kaden,Frederick,Clarence,Penelope,Emmanuel,Camilla,Koa,Abigail,Ethel,Tupou,Maraea,Jo-Anne,Mellissa,Indy,Haley,Shanae,Mitchell,Amelia,Caius,Yvonne,Leyton,Vida,Luana,Cindy,Hazel,Marcia,Brayden,Irvine,Kyran,Eva,Capri,Morris,Yuvaan,Marnie,Muhammad,Warwick,Tylah,Roy,Simeon,Moesha,Andy,Mason,Lois,Joshua,Leone,Carleen,Gloria,Isabelle,Davinia,Griffin,Janet,Russell,Leeanne,Jimmy,Cathy,Kylo,Christa,Braden,Marisa,Nina,Karin,Dwayne,Angelene,Katrina,Eliza,Benji,Raiden,Leanne,Anna,Redvers,Kye,Benson,Elle,Adele,Stephan,Hudson,Ramona,Carole,Tina,Devlin,Wilfrid,Aaron,Patricia,Elma,Vera,Ashlea,Onyx,Ewen,Calum"
Confirmed Removed,-2,"Hubert,Jonah"
Confirmed Change,95,"Integrity Check Passed"
Probable Reported Change,44,"6+21+9+4+4"
Probable Added,70,"Jude,Cleveland,Teigan,Gladys,Elliott,Neave,Winnie,Gerard,Neill,Kerri,George,Rosemarie,Miya,Anahera,Debra,Jackson,Viaan,Bridie,Sana,Riana,Mathew,Ocean,Pretoria,Siobhan,Rowena,Grace,Kyrie,Halsey,Teressa,Marco,Fay,Dane,Madeleine,Iyla,Miria,Sean,Ally,Ryker,Corina,Rubina,Indiana,Miracle,Elisabeth,Isla,Nicola,Tyson,Preston,Karyn,Wilma,Ryley,Ingrid,Jaimee,Sia,Caden,Maud,Ava,Alisa,Guy,Cole,Atlas,Jo,Kylah,Reyansh,Jonathon,Ronin,Percy,Rex,Taylah,Rene,Ariya"
Probable Removed,-26,"Aila,Jocelyn,Clifton,Brodie,Lynne,Natasha,Ansh,Brittany,Jana,Layla,Lucian,Sadie,Bodhi,Inaaya,Chris,Andrea,Gaylene,Matt,Jarred,Irene,Billy,Johnson,Joleen,Kaden,Frederick,Clarence"
Probable Change,44,"Integrity Check Passed"
