statistic,value,notes
Confirmed Reported Change,8,""
Confirmed Added,8,"Nathaniel,Harlem,Kristal,Hemi,Wallace,Jaxon,Ariki,Jazmyn"
Confirmed Removed,0,""
Confirmed Change,8,"Integrity Check Passed"
Probable Reported Change,5,""
Probable Added,5,"Hayley,Brandon,Nellie,Kaylee,Nakita"
Probable Removed,0,""
Probable Change,5,"Integrity Check Passed"
