statistic,value,notes
Confirmed Reported Change,4,"3 original Greg Mortimer cases re-added again, plus 1 extra"
Confirmed Added,4,"Rueben,Violet,Nicolas,Carrol"
Confirmed Removed,0,""
Confirmed Change,4,"Integrity Check Passed"
Probable Reported Change,0,""
Probable Added,0,""
Probable Removed,0,""
Probable Change,0,"Integrity Check Passed"
