statistic,value,notes
Confirmed Reported Change,6,""
Confirmed Added,7,"Trent,Nicolas,Noleen,Lara,Cary,Joni,Celine"
Confirmed Removed,-1,"Braden"
Confirmed Change,6,"Integrity Check Passed"
Probable Reported Change,14,""
Probable Added,14,"Lorenzo,Hinemoa,Russel,Tremaine,Rodger,Kataraina,Ella,Martine,Esther,Terri,Gideon,Maata,Tanita,Leah"
Probable Removed,0,"Braden"
Probable Change,14,"Integrity Check Passed"
