statistic,value,notes
Confirmed Reported Change,7,"4+3"
Confirmed Added,1,"Linkin,Travis,Adrianne,Deidre,Sally,Jarod,Sandra"
Confirmed Removed,0,""
Confirmed Change,7,"Integrity Check Passed"
Probable Reported Change,-2,"-2+0"
Probable Added,2,"Brendon,Shiloh"
Probable Removed,-4,"Arie,Kym,Winnie,Linkin"
Probable Change,-2,"Integrity Check Passed"
