ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
Silver Muse,Picton,ON SCHEDULE,17/12/2019,08:00:00,17/12/2019,18:00:00,623,417
Caledonian Sky,Dunedin,ON SCHEDULE,18/12/2019,08:00:00,18/12/2019,18:30:00,114,74
Explorer Dream,Fiordland,ON SCHEDULE,18/12/2019,06:00:00,18/12/2019,12:30:00,1856,1300
Norwegian Jewel,Fiordland,ON SCHEDULE,18/12/2019,10:00:00,18/12/2019,20:30:00,2376,1100
Coral Discoverer,Wellington,ON SCHEDULE,18/12/2019,08:00:00,18/12/2019,19:00:00,72,20
MS Noordam,Wellington,ON SCHEDULE,18/12/2019,08:00:00,18/12/2019,17:00:00,1972,820
Explorer Dream,Dunedin,ON SCHEDULE,19/12/2019,06:30:00,18/12/2019,14:30:00,1856,1300
MS Noordam,Napier,ON SCHEDULE,19/12/2019,07:00:00,19/12/2019,14:00:00,1972,820
Caledonian Sky,Stewart Island,CANCELLED,19/12/2019,08:00:00,19/12/2019,19:00:00,114,74
Spirit of Enderby,Stewart Island,ON SCHEDULE,19/12/2019,,19/12/2019,,50,
Silver Muse,Tauranga,ON SCHEDULE,19/12/2019,08:00:00,19/12/2019,18:00:00,623,417
Silver Muse,Auckland,ON SCHEDULE,20/12/2019,08:00:00,20/12/2019,18:00:00,623,417
Caledonian Sky,Fiordland,ON SCHEDULE,20/12/2019,06:30:00,21/12/2019,22:00:00,114,74
Ruby Princess,Fiordland,ON SCHEDULE,20/12/2019,07:00:00,20/12/2019,16:00:00,3034,1174
Spirit of Enderby,Fiordland,ON SCHEDULE,20/12/2019,,22/12/2019,,50,
MS Noordam,Tauranga,ON SCHEDULE,20/12/2019,09:00:00,20/12/2019,20:15:00,1972,820
Explorer Dream,Wellington,ON SCHEDULE,20/12/2019,08:30:00,20/12/2019,16:30:00,1856,1300
MS Noordam,Auckland,ON SCHEDULE,21/12/2019,07:00:00,21/12/2019,17:00:00,1972,820
Ruby Princess,Dunedin,ON SCHEDULE,21/12/2019,08:00:00,21/12/2019,18:00:00,3034,1174
Caledonian Sky,Fiordland,ON SCHEDULE,21/12/2019,22:00:00,23/12/2019,19:00:00,114,74
Explorer Dream,Napier,ON SCHEDULE,21/12/2019,06:00:00,21/12/2019,14:00:00,1856,1300
Silver Muse,Tauranga,ON SCHEDULE,21/12/2019,09:30:00,21/12/2019,20:30:00,623,417
Ruby Princess,Akaroa,ON SCHEDULE,22/12/2019,08:00:00,22/12/2019,18:00:00,3034,1174
Explorer Dream,Auckland,ON SCHEDULE,22/12/2019,09:00:00,22/12/2019,21:00:00,1856,1300
Majestic Princess,Fiordland,ON SCHEDULE,22/12/2019,07:00:00,22/12/2019,16:00:00,3560,1357
MS Noordam,Tauranga,ON SCHEDULE,22/12/2019,06:45:00,22/12/2019,17:45:00,1972,820
Ovation Of The Seas,Auckland,ON SCHEDULE,23/12/2019,07:00:00,23/12/2019,16:00:00,4180,1500
Explorer Dream,Bay Of Islands,ON SCHEDULE,23/12/2019,07:00:00,23/12/2019,17:00:00,1856,1300
Spirit of Enderby,Bluff,ON SCHEDULE,23/12/2019,,23/12/2019,,50,
Majestic Princess,Dunedin,ON SCHEDULE,23/12/2019,08:00:00,23/12/2019,18:00:00,3560,1357
Golden Princess,Fiordland,CANCELLED,23/12/2019,07:00:00,23/12/2019,16:00:00,2636,1073
MS Noordam,Napier,ON SCHEDULE,23/12/2019,12:00:00,23/12/2019,18:00:00,1972,820
Ruby Princess,Picton,ON SCHEDULE,23/12/2019,07:00:00,23/12/2019,18:00:00,3034,1174
Silver Muse,Picton,ON SCHEDULE,23/12/2019,08:00:00,23/12/2019,18:00:00,623,417
Majestic Princess,Akaroa,ON SCHEDULE,24/12/2019,08:00:00,24/12/2019,18:00:00,3560,1357
Golden Princess,Dunedin,CANCELLED,24/12/2019,08:00:00,24/12/2019,18:00:00,2636,1073
Golden Princess,Picton,ON SCHEDULE,24/12/2019,08:00:00,24/12/2019,18:00:00,2636,1073
Silver Muse,Lyttelton,ON SCHEDULE,24/12/2019,07:30:00,24/12/2019,17:00:00,623,417
Caledonian Sky,Stewart Island,CANCELLED,24/12/2019,07:00:00,24/12/2019,19:00:00,114,74
Aida Aura,Tauranga,CANCELLED,24/12/2019,08:45:00,24/12/2019,20:00:00,1266,418
MS Noordam,Wellington,ON SCHEDULE,24/12/2019,08:00:00,24/12/2019,17:00:00,1972,820
Ruby Princess,Wellington,ON SCHEDULE,24/12/2019,07:00:00,24/12/2019,18:00:00,3034,1174
Golden Princess,Akaroa,ON SCHEDULE,25/12/2019,08:00:00,25/12/2019,18:00:00,2636,1073
Explorer Dream,Fiordland,ON SCHEDULE,25/12/2019,06:00:00,25/12/2019,12:30:00,1856,1300
Norwegian Jewel,Fiordland,ON SCHEDULE,25/12/2019,09:00:00,25/12/2019,18:30:00,2376,1100
Caledonian Sky,NZ Sub Antarctic,CANCELLED,25/12/2019,07:00:00,25/12/2019,12:00:00,114,74
MS Noordam,Akaroa,ON SCHEDULE,26/12/2019,07:00:00,26/12/2019,19:00:00,1972,820
Caledonian Sky,Dunedin,ON SCHEDULE,26/12/2019,08:00:00,26/12/2019,18:00:00,114,74
Explorer Dream,Dunedin,ON SCHEDULE,26/12/2019,06:30:00,26/12/2019,14:30:00,1856,1300
Norwegian Jewel,Dunedin,ON SCHEDULE,26/12/2019,09:00:00,26/12/2019,19:00:00,2376,1100
Queen Elizabeth,Fiordland,ON SCHEDULE,26/12/2019,08:00:00,26/12/2019,18:00:00,2092,1097
Celebrity Solstice,Picton,ON SCHEDULE,26/12/2019,11:00:00,26/12/2019,20:00:00,2850,1250
Silver Muse,Stewart Island,ON SCHEDULE,26/12/2019,08:00:00,26/12/2019,18:00:00,623,417
Majestic Princess,Tauranga,ON SCHEDULE,26/12/2019,09:15:00,26/12/2019,20:00:00,3560,1357
Ruby Princess,Tauranga,ON SCHEDULE,26/12/2019,09:30:00,26/12/2019,20:30:00,3034,1174
Aida Aura,Wellington,ON SCHEDULE,26/12/2019,08:00:00,26/12/2019,22:00:00,1266,418
Golden Princess,Wellington,ON SCHEDULE,26/12/2019,07:00:00,26/12/2019,22:00:00,2636,1073
Caledonian Sky,Akaroa,ON SCHEDULE,27/12/2019,08:00:00,27/12/2019,19:00:00,114,74
Norwegian Jewel,Akaroa,ON SCHEDULE,27/12/2019,08:00:00,27/12/2019,18:00:00,2376,1100
Majestic Princess,Auckland,ON SCHEDULE,27/12/2019,07:00:00,27/12/2019,20:00:00,3560,1357
Ruby Princess,Auckland,ON SCHEDULE,27/12/2019,07:30:00,27/12/2019,18:00:00,3034,1174
MS Noordam,Dunedin,ON SCHEDULE,27/12/2019,08:00:00,27/12/2019,18:00:00,1972,820
Queen Elizabeth,Dunedin,ON SCHEDULE,27/12/2019,09:00:00,27/12/2019,18:00:00,2092,1097
Silver Muse,Fiordland,ON SCHEDULE,27/12/2019,08:00:00,27/12/2019,17:00:00,623,417
Celebrity Solstice,Napier,ON SCHEDULE,27/12/2019,10:00:00,27/12/2019,18:00:00,2850,1250
Aida Aura,Picton,ON SCHEDULE,27/12/2019,07:00:00,28/12/2019,08:00:00,1266,418
Explorer Dream,Wellington,ON SCHEDULE,27/12/2019,08:30:00,27/12/2019,16:30:00,1856,1300
Queen Elizabeth,Akaroa,ON SCHEDULE,28/12/2019,08:00:00,28/12/2019,18:00:00,2092,1097
Ruby Princess,Bay Of Islands,ON SCHEDULE,28/12/2019,08:00:00,28/12/2019,18:00:00,3034,1174
MS Noordam,Fiordland,ON SCHEDULE,28/12/2019,07:00:00,28/12/2019,17:00:00,1972,820
MV Seabourn Encore,Fiordland,ON SCHEDULE,28/12/2019,06:00:00,28/12/2019,17:00:00,600,416
Caledonian Sky,Kaikoura,ON SCHEDULE,28/12/2019,07:00:00,28/12/2019,19:00:00,114,74
Explorer Dream,Napier,ON SCHEDULE,28/12/2019,06:00:00,28/12/2019,14:00:00,1856,1300
Norwegian Jewel,Picton,ON SCHEDULE,28/12/2019,08:00:00,28/12/2019,16:00:00,2376,1100
Golden Princess,Tauranga,ON SCHEDULE,28/12/2019,06:15:00,28/12/2019,17:15:00,2636,1073
Majestic Princess,Tauranga,ON SCHEDULE,28/12/2019,11:00:00,28/12/2019,21:30:00,3560,1357
Celebrity Solstice,Wellington,ON SCHEDULE,28/12/2019,08:00:00,28/12/2019,19:00:00,2850,1250
Celebrity Solstice,Akaroa,ON SCHEDULE,29/12/2019,08:00:00,29/12/2019,21:00:00,2850,1250
Explorer Dream,Auckland,ON SCHEDULE,29/12/2019,09:00:00,29/12/2019,21:00:00,1856,1300
Golden Princess,Auckland,ON SCHEDULE,29/12/2019,07:00:00,29/12/2019,14:00:00,2636,1073
Norwegian Jewel,Napier,ON SCHEDULE,29/12/2019,07:30:00,29/12/2019,15:30:00,2376,1100
Ovation Of The Seas,Picton,ON SCHEDULE,29/12/2019,09:00:00,29/12/2019,18:00:00,4180,1500
MV Seabourn Encore,Stewart Island,ON SCHEDULE,29/12/2019,08:00:00,29/12/2019,17:00:00,600,416
Caledonian Sky,Wellington,ON SCHEDULE,29/12/2019,07:00:00,29/12/2019,23:00:00,114,74
Queen Elizabeth,Wellington,ON SCHEDULE,29/12/2019,08:00:00,29/12/2019,18:00:00,2092,1097
Majestic Princess,Akaroa,ON SCHEDULE,30/12/2019,08:00:00,30/12/2019,18:00:00,3560,1357
Ruby Princess,Auckland,ON SCHEDULE,30/12/2019,07:00:00,30/12/2019,18:00:00,3034,1174
Explorer Dream,Bay Of Islands,ON SCHEDULE,30/12/2019,07:00:00,30/12/2019,17:00:00,1856,1300
Celebrity Solstice,Dunedin,ON SCHEDULE,30/12/2019,07:30:00,30/12/2019,17:00:00,2850,1250
MV Seabourn Encore,Dunedin,ON SCHEDULE,30/12/2019,08:00:00,30/12/2019,17:00:00,600,416
Ovation Of The Seas,Napier,ON SCHEDULE,30/12/2019,08:00:00,30/12/2019,17:00:00,4180,1500
Caledonian Sky,Ships Cove,ON SCHEDULE,30/12/2019,06:00:00,30/12/2019,12:00:00,114,74
Norwegian Jewel,Tauranga,CANCELLED,30/12/2019,07:45:00,30/12/2019,19:00:00,2376,1100
Norwegian Jewel,Auckland,ON SCHEDULE,31/12/2019,06:30:00,31/12/2019,16:00:00,2376,1100
Queen Elizabeth,Auckland,ON SCHEDULE,31/12/2019,07:00:00,01/01/2020,17:00:00,2092,1097
Majestic Princess,Dunedin,ON SCHEDULE,31/12/2019,08:00:00,31/12/2019,18:00:00,3560,1357
Celebrity Solstice,Fiordland,ON SCHEDULE,31/12/2019,08:00:00,31/12/2019,17:00:00,2850,1250
MV Seabourn Encore,Lyttelton,ON SCHEDULE,31/12/2019,08:00:00,31/12/2019,23:00:00,600,416
Caledonian Sky,Napier,ON SCHEDULE,31/12/2019,08:00:00,31/12/2019,18:30:00,114,74
Ruby Princess,Tauranga,ON SCHEDULE,31/12/2019,06:30:00,31/12/2020,17:45:00,3034,1174
Ovation Of The Seas,Wellington,ON SCHEDULE,31/12/2019,07:00:00,31/12/2019,17:00:00,4180,1500
Ovation Of The Seas,Dunedin,ON SCHEDULE,01/01/2020,11:00:00,01/01/2020,17:00:00,4180,1500
Explorer Dream,Fiordland,ON SCHEDULE,01/01/2020,06:00:00,01/01/2020,12:30:00,1856,1300
Majestic Princess,Fiordland,ON SCHEDULE,01/01/2020,08:00:00,01/01/2020,17:00:00,3560,1357
MV Seabourn Encore,Kaikoura,ON SCHEDULE,01/01/2020,08:00:00,01/01/2020,17:00:00,600,416
Explorer Dream,Dunedin,ON SCHEDULE,02/01/2020,06:30:00,02/01/2020,14:30:00,1856,1300
Ovation Of The Seas,Fiordland,ON SCHEDULE,02/01/2020,08:00:00,02/01/2020,18:00:00,4180,1500
Sea Princess,Fiordland,ON SCHEDULE,02/01/2020,07:00:00,02/01/2020,16:00:00,2016,839
MV Seabourn Encore,Nelson,ON SCHEDULE,02/01/2020,08:00:00,02/01/2020,18:00:00,600,416
Caledonian Sky,Tauranga,ON SCHEDULE,02/01/2020,07:00:00,02/01/2020,22:00:00,114,74
Ruby Princess,Wellington,ON SCHEDULE,02/01/2020,07:00:00,02/01/2020,18:00:00,3034,1174
Sea Princess,Dunedin,ON SCHEDULE,03/01/2020,08:00:00,03/01/2020,18:00:00,2016,839
Ruby Princess,Picton,ON SCHEDULE,03/01/2020,07:00:00,03/01/2020,18:00:00,3034,1174
Explorer Dream,Wellington,ON SCHEDULE,03/01/2020,08:30:00,03/01/2020,16:30:00,1856,1300
MV Seabourn Encore,Wellington,ON SCHEDULE,03/01/2020,08:00:00,03/01/2020,23:00:00,600,416
Caledonian Sky,Whitianga,ON SCHEDULE,03/01/2020,07:00:00,03/01/2020,18:00:00,114,74
Ruby Princess,Akaroa,CANCELLED,04/01/2020,08:00:00,04/01/2020,18:00:00,3034,1174
Sea Princess,Akaroa,CANCELLED,04/01/2020,08:00:00,04/01/2020,18:00:00,2016,839
Caledonian Sky,Bay Of Islands,ON SCHEDULE,04/01/2020,08:00:00,04/01/2020,18:00:00,114,74
Viking Orion,Dunedin,CANCELLED,04/01/2020,09:00:00,04/01/2020,18:00:00,930,480
Explorer Dream,Napier,CANCELLED,04/01/2020,17:15:00,04/01/2020,23:15:00,1856,1300
Caledonian Sky,Auckland,ON SCHEDULE,05/01/2020,07:00:00,06/01/2020,16:00:00,114,74
Explorer Dream,Auckland,ON SCHEDULE,05/01/2020,09:00:00,05/01/2020,21:00:00,1856,1300
Ruby Princess,Dunedin,ON SCHEDULE,05/01/2020,08:00:00,05/01/2020,18:00:00,3034,1174
Viking Orion,Lyttelton,ON SCHEDULE,05/01/2020,08:00:00,05/01/2020,18:00:00,930,480
MV Seabourn Encore,Tauranga,ON SCHEDULE,05/01/2020,08:00:00,05/01/2020,18:00:00,600,416
Sea Princess,Wellington,ON SCHEDULE,05/01/2020,08:00:00,05/01/2020,18:00:00,2016,839
MV Seabourn Encore,Auckland,ON SCHEDULE,06/01/2020,07:00:00,06/01/2020,17:00:00,600,416
Explorer Dream,Bay Of Islands,ON SCHEDULE,06/01/2020,07:00:00,06/01/2020,17:00:00,1856,1300
Norwegian Jewel,Fiordland,CANCELLED,06/01/2020,09:00:00,06/01/2020,18:30:00,2376,1100
Ruby Princess,Fiordland,CANCELLED,06/01/2020,08:00:00,06/01/2020,17:00:00,3034,1174
Sea Princess,Napier,CANCELLED,06/01/2020,07:00:00,06/01/2020,14:00:00,2016,839
Viking Orion,Wellington,ON SCHEDULE,06/01/2020,08:00:00,06/01/2020,18:00:00,930,480
Norwegian Jewel,Wellington,ON SCHEDULE,06/01/2020,18:00:00,07/01/2020,18:00:00,2376,1100
MV Seabourn Encore,Bay Of Islands,ON SCHEDULE,07/01/2020,07:00:00,07/01/2020,17:00:00,600,416
Norwegian Jewel,Dunedin,CANCELLED,07/01/2020,09:00:00,07/01/2020,19:00:00,2376,1100
MS Noordam,Fiordland,ON SCHEDULE,07/01/2020,07:00:00,07/01/2020,18:00:00,1972,820
Viking Orion,Napier,ON SCHEDULE,07/01/2020,08:00:00,07/01/2020,14:00:00,930,480
Sea Princess,Tauranga,ON SCHEDULE,07/01/2020,07:30:00,07/01/2020,18:15:00,2016,839
Caledonian Sky,Tauranga,ON SCHEDULE,08/01/2020,08:00:00,08/01/2020,23:30:00,114,74
Norwegian Jewel,Akaroa,ON SCHEDULE,08/01/2020,08:00:00,08/01/2020,18:00:00,2376,1100
Sea Princess,Auckland,ON SCHEDULE,08/01/2020,07:00:00,08/01/2020,22:00:00,2016,839
MS Noordam,Dunedin,ON SCHEDULE,08/01/2020,08:00:00,08/01/2020,18:00:00,1972,820
Explorer Dream,Fiordland,CANCELLED,08/01/2020,06:00:00,08/01/2020,12:30:00,1856,1300
Viking Orion,Tauranga,ON SCHEDULE,08/01/2020,08:45:00,08/01/2020,19:15:00,930,480
Explorer Dream,Dunedin,ON SCHEDULE,09/01/2020,06:30:00,09/01/2020,14:30:00,1856,1300
MS Noordam,Akaroa,ON SCHEDULE,09/01/2020,07:00:00,09/01/2020,18:00:00,1972,820
Viking Orion,Auckland,ON SCHEDULE,09/01/2020,07:00:00,11/01/2020,18:00:00,930,480
Caledonian Sky,Napier,CANCELLED,09/01/2020,09:00:00,09/01/2020,18:00:00,114,74
Le Lapérouse,NZ Sub Antarctic,ON SCHEDULE,09/01/2020,,12/01/2020,,184,124
Norwegian Jewel,Picton,ON SCHEDULE,09/01/2020,08:00:00,09/01/2020,16:00:00,2376,1100
Radiance Of The Seas,Fiordland,ON SCHEDULE,10/01/2020,08:00:00,10/01/2020,17:00:00,2064,858
Norwegian Jewel,Napier,ON SCHEDULE,10/01/2020,08:00:00,10/01/2020,16:00:00,2376,1100
MS Noordam,Picton,ON SCHEDULE,10/01/2020,10:00:00,10/01/2020,20:00:00,1972,820
Caledonian Sky,Wellington,ON SCHEDULE,10/01/2020,12:00:00,10/01/2020,23:00:00,114,74
Explorer Dream,Wellington,ON SCHEDULE,10/01/2020,08:30:00,10/01/2020,16:30:00,1856,1300
Radiance Of The Seas,Dunedin,ON SCHEDULE,11/01/2020,08:00:00,11/01/2020,17:00:00,2064,858
Majestic Princess,Fiordland,ON SCHEDULE,11/01/2020,07:00:00,11/01/2020,16:00:00,3560,1357
Caledonian Sky,Ship Cove,ON SCHEDULE,11/01/2020,07:00:00,11/01/2020,13:00:00,114,74
Caledonian Sky,Motuara Island,ON SCHEDULE,11/01/2020,14:00:00,11/01/2020,18:00:00,114,74
Explorer Dream,Napier,ON SCHEDULE,11/01/2020,16:00:00,11/01/2020,21:45:00,1856,1300
Norwegian Jewel,Tauranga,ON SCHEDULE,11/01/2020,09:15:00,11/01/2020,20:15:00,2376,1100
MS Noordam,Wellington,ON SCHEDULE,11/01/2020,08:00:00,11/01/2020,16:00:00,1972,820
Caledonian Sky,Nelson,ON SCHEDULE,12/01/2020,07:00:00,12/01/2020,12:30:00,114,74
Radiance Of The Seas,Akaroa,CANCELLED,12/01/2020,08:00:00,12/01/2020,17:00:00,2064,858
Explorer Dream,Auckland,ON SCHEDULE,12/01/2020,09:00:00,12/01/2020,21:00:00,1856,1300
Ovation Of The Seas,Auckland,ON SCHEDULE,12/01/2020,07:00:00,12/01/2020,16:00:00,4180,1500
Norwegian Jewel,Bay Of Islands,ON SCHEDULE,12/01/2020,08:00:00,12/01/2020,18:00:00,2376,1100
Majestic Princess,Dunedin,ON SCHEDULE,12/01/2020,08:00:00,12/01/2020,18:00:00,3560,1357
MV Seabourn Encore,Fiordland,ON SCHEDULE,12/01/2020,07:00:00,12/01/2020,13:00:00,600,416
MS Noordam,Napier,ON SCHEDULE,12/01/2020,07:00:00,12/01/2020,13:00:00,1972,820
Viking Orion,Tauranga,ON SCHEDULE,12/01/2020,06:00:00,12/01/2020,17:00:00,930,480
Caledonian Sky,Lyttelton,CANCELLED,12/01/2020,,12/01/2020,,114,74
Caledonian Sky,Lyttelton,CANCELLED,13/01/2020,,13/01/2020,,114,74
Caledonian Sky,Kaikoura,ON SCHEDULE,13/01/2020,08:00:00,13/01/2020,19:00:00,114,74
Majestic Princess,Akaroa,ON SCHEDULE,13/01/2020,08:00:00,13/01/2020,18:00:00,3560,1357
Norwegian Jewel,Auckland,ON SCHEDULE,13/01/2020,06:00:00,13/01/2020,18:00:00,2376,1100
Explorer Dream,Bay Of Islands,ON SCHEDULE,13/01/2020,07:00:00,13/01/2020,17:00:00,1856,1300
Golden Princess,Fiordland,CANCELLED,13/01/2020,07:00:00,13/01/2020,16:00:00,2636,1073
Le Lapérouse,Fiordland,ON SCHEDULE,13/01/2020,,14/01/2020,,184,124
MS Regatta,Fiordland,CANCELLED,13/01/2020,07:00:00,13/01/2020,13:00:00,650,375
Viking Orion,Napier,ON SCHEDULE,13/01/2020,12:00:00,13/01/2020,18:00:00,930,480
MV Seabourn Encore,Stewart Island,CANCELLED,13/01/2020,09:00:00,13/01/2020,17:00:00,600,416
MS Noordam,Tauranga,ON SCHEDULE,13/01/2020,06:15:00,13/01/2020,17:30:00,1972,820
MS Noordam,Auckland,ON SCHEDULE,14/01/2020,07:00:00,14/01/2020,18:00:00,1972,820
Radiance Of The Seas,Auckland,ON SCHEDULE,14/01/2020,08:00:00,14/01/2020,18:30:00,2064,858
Norwegian Jewel,Bay Of Islands,ON SCHEDULE,14/01/2020,08:00:00,14/01/2020,18:00:00,2376,1100
Golden Princess,Dunedin,ON SCHEDULE,14/01/2020,10:30:00,14/01/2020,21:00:00,2636,1073
MS Regatta,Dunedin,CANCELLED,14/01/2020,11:00:00,14/01/2020,20:00:00,650,375
Seven Seas Voyager,Fiordland,ON SCHEDULE,14/01/2020,07:00:00,14/01/2020,11:00:00,754,446
MV Seabourn Encore,Timaru,ON SCHEDULE,14/01/2020,10:00:00,14/01/2020,18:00:00,600,416
Majestic Princess,Wellington,ON SCHEDULE,14/01/2020,08:00:00,14/01/2020,18:00:00,3560,1357
Viking Orion,Wellington,ON SCHEDULE,14/01/2020,09:00:00,14/01/2020,18:00:00,930,480
MS Regatta,Picton,ON SCHEDULE,14/01/2020,07:00:00,14/01/2020,18:00:00,650,375
Golden Princess,Akaroa,ON SCHEDULE,15/01/2020,08:00:00,15/01/2020,18:00:00,2636,1073
MS Regatta,Akaroa,ON SCHEDULE,15/01/2020,07:00:00,15/01/2020,18:00:00,650,375
MS Noordam,Bay Of Islands,ON SCHEDULE,15/01/2020,07:00:00,15/01/2020,14:00:00,1972,820
Radiance Of The Seas,Bay Of Islands,ON SCHEDULE,15/01/2020,08:00:00,15/01/2020,17:00:00,2064,858
Le Lapérouse,Dunedin,ON SCHEDULE,15/01/2020,09:00:00,15/01/2020,16:30:00,184,124
Seven Seas Voyager,Dunedin,ON SCHEDULE,15/01/2020,09:00:00,15/01/2020,19:00:00,754,446
Caledonian Sky,Stewart Island,ON SCHEDULE,15/01/2020,07:30:00,15/01/2020,17:30:00,114,74
Explorer Dream,Fiordland,ON SCHEDULE,15/01/2020,06:00:00,15/01/2020,12:30:00,1856,1300
Queen Elizabeth,Fiordland,ON SCHEDULE,15/01/2020,08:00:00,15/01/2020,18:00:00,2092,1097
MV Seabourn Encore,Lyttelton,ON SCHEDULE,15/01/2020,08:00:00,15/01/2020,23:00:00,600,416
Viking Orion,Lyttelton,ON SCHEDULE,15/01/2020,08:00:00,15/01/2020,18:00:00,930,480
Norwegian Jewel,Tauranga,ON SCHEDULE,15/01/2020,06:15:00,15/01/2020,17:30:00,2376,1100
Explorer Dream,Akaroa,ON SCHEDULE,16/01/2020,10:00:00,16/01/2020,18:00:00,1856,1300
Seven Seas Voyager,Akaroa,ON SCHEDULE,16/01/2020,08:00:00,16/01/2020,18:00:00,754,446
Queen Elizabeth,Dunedin,ON SCHEDULE,16/01/2020,09:00:00,16/01/2020,18:00:00,2092,1097
Viking Orion,Dunedin,ON SCHEDULE,16/01/2020,08:00:00,16/01/2020,18:00:00,930,480
Le Lapérouse,Fiordland,ON SCHEDULE,16/01/2020,14:30:00,17/01/2020,12:00:00,184,124
MV Seabourn Encore,Kaikoura,ON SCHEDULE,16/01/2020,08:00:00,16/01/2020,17:00:00,600,416
Norwegian Jewel,Napier,ON SCHEDULE,16/01/2020,09:00:00,16/01/2020,16:30:00,2376,1100
Majestic Princess,Tauranga,ON SCHEDULE,16/01/2020,06:30:00,16/01/2020,18:30:00,3560,1357
Golden Princess,Wellington,ON SCHEDULE,16/01/2020,07:00:00,16/01/2020,16:00:00,2636,1073
MS Regatta,Wellington,ON SCHEDULE,16/01/2020,08:00:00,16/01/2020,17:00:00,650,375
Caledonian Sky,Fiordland,ON SCHEDULE,16/01/2020,08:00:00,17/01/2020,19:00:00,114,74
Queen Elizabeth,Akaroa,ON SCHEDULE,17/01/2020,08:00:00,17/01/2020,18:00:00,2092,1097
Majestic Princess,Auckland,ON SCHEDULE,17/01/2020,07:00:00,17/01/2020,18:00:00,3560,1357
Carnival Spirit,Fiordland,ON SCHEDULE,17/01/2020,,17/01/2020,,2124,1030
Golden Princess,Napier,ON SCHEDULE,17/01/2020,07:00:00,17/01/2020,16:00:00,2636,1073
MS Regatta,Napier,ON SCHEDULE,17/01/2020,08:00:00,17/01/2020,20:00:00,650,375
Explorer Dream,Picton,ON SCHEDULE,17/01/2020,06:00:00,17/01/2020,14:00:00,1856,1300
Norwegian Jewel,Picton,ON SCHEDULE,17/01/2020,08:00:00,17/01/2020,18:00:00,2376,1100
MV Seabourn Encore,Wellington,ON SCHEDULE,17/01/2020,08:00:00,17/01/2020,18:00:00,600,416
Seven Seas Voyager,Wellington,ON SCHEDULE,17/01/2020,07:00:00,17/01/2020,16:00:00,7554,446
Norwegian Jewel,Akaroa,ON SCHEDULE,18/01/2020,08:00:00,18/01/2020,18:00:00,2376,1100
Majestic Princess,Bay Of Islands,ON SCHEDULE,18/01/2020,07:00:00,18/01/2020,17:00:00,3560,1357
Caledonian Sky,Dunedin,ON SCHEDULE,18/01/2020,07:30:00,19/01/2020,12:00:00,114,74
Carnival Spirit,Dunedin,ON SCHEDULE,18/01/2020,11:00:00,18/01/2020,20:00:00,2124,1030
Ovation Of The Seas,Fiordland,ON SCHEDULE,18/01/2020,08:00:00,18/01/2020,17:00:00,4180,1500
MS Regatta,Gisborne,CANCELLED,18/01/2020,07:00:00,18/01/2020,17:00:00,650,375
Explorer Dream,Napier,ON SCHEDULE,18/01/2020,06:00:00,18/01/2020,14:00:00,1856,1300
Seven Seas Voyager,Napier,ON SCHEDULE,18/01/2020,07:00:00,18/01/2020,15:00:00,7554,446
Golden Princess,Tauranga,ON SCHEDULE,18/01/2020,08:45:00,18/01/2020,20:00:00,2636,1073
MS Maasdam,Tauranga,ON SCHEDULE,18/01/2020,08:15:00,18/01/2020,19:15:00,1258,580
Queen Elizabeth,Wellington,ON SCHEDULE,18/01/2020,08:00:00,18/01/2020,18:00:00,2092,1097
Carnival Spirit,Akaroa,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,18:00:00,2124,1030
Explorer Dream,Auckland,ON SCHEDULE,19/01/2020,09:00:00,19/01/2020,21:00:00,1856,1300
Golden Princess,Auckland,ON SCHEDULE,19/01/2020,07:00:00,19/01/2020,14:00:00,2636,1073
MS Maasdam,Bay Of Islands,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,17:00:00,1258,580
Norwegian Jewel,Dunedin,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,18:00:00,2376,1100
Ovation Of The Seas,Dunedin,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,17:30:00,4180,1500
Queen Elizabeth,Napier,ON SCHEDULE,19/01/2020,09:00:00,19/01/2020,19:00:00,2092,1097
Le Lapérouse,Picton,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,18:00:00,184,124
MS Regatta,Tauranga,ON SCHEDULE,19/01/2020,08:45:00,19/01/2020,20:00:00,650,375
Seven Seas Voyager,Tauranga,ON SCHEDULE,19/01/2020,09:15:00,19/01/2020,20:15:00,754,446
MV Seabourn Encore,Waiheke,ON SCHEDULE,19/01/2020,08:00:00,19/01/2020,17:00:00,600,416
MS Maasdam,Auckland,ON SCHEDULE,20/01/2020,07:00:00,20/01/2020,21:00:00,1258,580
MS Regatta,Auckland,ON SCHEDULE,20/01/2020,06:30:00,20/01/2020,19:00:00,650,375
MV Seabourn Encore,Auckland,ON SCHEDULE,20/01/2020,07:00:00,20/01/2020,18:00:00,600,416
Explorer Dream,Bay Of Islands,ON SCHEDULE,20/01/2020,07:00:00,20/01/2020,17:00:00,1856,1300
Seven Seas Voyager,Bay of Islands,ON SCHEDULE,20/01/2020,10:00:00,20/01/2020,19:00:00,754,446
