ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
Celebrity Solstice,Bay Of Islands,ON SCHEDULE,07/11/2019,08:00:00,07/11/2019,19:00:00,2850,1250
Ovation Of The Seas,Fiordland,ON SCHEDULE,07/11/2019,08:00:00,07/11/2019,18:00:00,4180,1500
Sea Princess,Fiordland,ON SCHEDULE,07/11/2019,07:00:00,07/11/2019,16:00:00,2016,839
Majestic Princess,Wellington,ON SCHEDULE,07/11/2019,08:00:00,07/11/2019,18:00:00,3560,1357
Celebrity Solstice,Auckland,ON SCHEDULE,08/11/2019,06:30:00,08/11/2019,18:00:00,2850,1250
Sea Princess,Dunedin,ON SCHEDULE,08/11/2019,08:00:00,08/11/2019,18:00:00,2016,839
Sea Princess,Akaroa,ON SCHEDULE,09/11/2019,08:00:00,09/11/2019,18:00:00,2016,839
Celebrity Solstice,Tauranga,ON SCHEDULE,09/11/2019,08:00:00,09/11/2019,17:00:00,2850,1250
Majestic Princess,Tauranga,ON SCHEDULE,09/11/2019,08:00:00,09/11/2019,19:00:00,3560,1357
Majestic Princess,Auckland,ON SCHEDULE,10/11/2019,07:00:00,10/11/2019,18:00:00,3560,1357
Sea Princess,Wellington,ON SCHEDULE,10/11/2019,07:00:00,10/11/2019,17:00:00,2016,839
Majestic Princess,Bay Of Islands,ON SCHEDULE,11/11/2019,07:00:00,11/11/2019,16:00:00,3560,1357
Sea Princess,Napier,ON SCHEDULE,11/11/2019,07:00:00,11/11/2019,14:00:00,2016,839
Celebrity Solstice,Wellington,ON SCHEDULE,11/11/2019,08:00:00,11/11/2019,17:00:00,2850,1250
Celebrity Solstice,Akaroa,ON SCHEDULE,12/11/2019,08:00:00,12/11/2019,17:00:00,2850,1250
Sea Princess,Tauranga,ON SCHEDULE,12/11/2019,08:00:00,12/11/2019,19:15:00,2016,839
Coral Discoverer,Whangarei - maintenance,ON SCHEDULE,Tues 12019,,12/11/2019,,72,20
Sea Princess,Auckland,ON SCHEDULE,13/11/2019,07:00:00,13/11/2019,22:00:00,2016,839
Celebrity Solstice,Dunedin,ON SCHEDULE,13/11/2019,08:00:00,13/11/2019,17:00:00,2850,1250
Celebrity Solstice,Fiordland,ON SCHEDULE,14/11/2019,08:00:00,14/11/2019,18:00:00,2850,1250
Caledonian Sky,Bluff,ON SCHEDULE,15/11/2019,04:00:00,15/11/2019,09:00:00,114,74
Caledonian Sky,Stewart Island,ON SCHEDULE,15/11/2019,11:15:00,15/11/2019,18:00:00,114,74
Caledonian Sky,Dunedin,ON SCHEDULE,16/11/2019,07:30:00,16/11/2019,18:00:00,114,74
MS Noordam,Fiordland,ON SCHEDULE,16/11/2019,08:00:00,16/11/2019,17:00:00,1972,820
Ovation Of The Seas,Fiordland,ON SCHEDULE,16/11/2019,08:00:00,16/11/2019,17:00:00,4180,1500
Caledonian Sky,Akaroa,ON SCHEDULE,17/11/2019,08:00:00,17/11/2019,14:00:00,114,74
MS Noordam,Dunedin,ON SCHEDULE,17/11/2019,09:00:00,17/11/2019,18:00:00,1972,820
Ovation Of The Seas,Dunedin,ON SCHEDULE,17/11/2019,08:00:00,17/11/2019,17:00:00,4180,1500
Majestic Princess,Fiordland,ON SCHEDULE,17/11/2019,07:00:00,17/11/2019,16:00:00,3560,1357
MS Noordam,Akaroa,ON SCHEDULE,18/11/2019,07:00:00,18/11/2019,18:00:00,1972,820
Majestic Princess,Dunedin,ON SCHEDULE,18/11/2019,08:00:00,18/11/2019,18:00:00,3560,1357
Caledonian Sky,Wellington,ON SCHEDULE,18/11/2019,07:00:00,18/11/2019,23:00:00,114,74
Ovation Of The Seas,Wellington,ON SCHEDULE,18/11/2019,12:00:00,18/11/2019,19:00:00,4180,1500
Majestic Princess,Akaroa,ON SCHEDULE,19/11/2019,08:00:00,19/11/2019,18:00:00,3560,1357
Ovation Of The Seas,Napier,ON SCHEDULE,19/11/2019,08:30:00,19/11/2019,17:30:00,4180,1500
MS Noordam,Picton,ON SCHEDULE,19/11/2019,10:00:00,19/11/2019,20:00:00,1972,820
Caledonian Sky,Ships Cove,ON SCHEDULE,19/11/2019,06:00:00,19/11/2019,12:00:00,114,74
Caledonian Sky,Napier,ON SCHEDULE,20/11/2019,08:00:00,20/11/2019,19:00:00,114,74
Ovation Of The Seas,Picton,ON SCHEDULE,20/11/2019,08:00:00,20/11/2019,17:00:00,4180,1500
Majestic Princess,Wellington,ON SCHEDULE,20/11/2019,08:00:00,20/11/2019,18:00:00,3560,1357
MS Noordam,Wellington,ON SCHEDULE,20/11/2019,08:00:00,20/11/2019,17:00:00,1972,820
MS Noordam,Napier,ON SCHEDULE,21/11/2019,07:00:00,21/11/2019,14:00:00,1972,820
Caledonian Sky,White Island,ON SCHEDULE,21/11/2019,14:30:00,21/11/2019,22:00:00,114,74
Radiance Of The Seas,Fiordland,ON SCHEDULE,22/11/2019,08:00:00,22/11/2019,17:00:00,2064,858
Caledonian Sky,Tauranga,ON SCHEDULE,22/11/2019,06:00:00,22/11/2019,19:00:00,114,74
Majestic Princess,Tauranga,ON SCHEDULE,22/11/2019,05:45:00,22/11/2019,17:00:00,3560,1357
MS Noordam,Tauranga,ON SCHEDULE,22/11/2019,10:15:00,22/11/2019,16:45:00,1972,820
Caledonian Sky,Auckland,ON SCHEDULE,23/11/2019,07:00:00,23/11/2019,19:00:00,114,74
Majestic Princess,Auckland,ON SCHEDULE,23/11/2019,07:00:00,23/11/2019,18:00:00,3560,1357
MS Noordam,Auckland,ON SCHEDULE,23/11/2019,07:00:00,23/11/2019,17:00:00,1972,820
Radiance Of The Seas,Dunedin,ON SCHEDULE,23/11/2019,08:00:00,23/11/2019,17:00:00,2064,858
Radiance Of The Seas,Akaroa,ON SCHEDULE,24/11/2019,08:00:00,24/11/2019,17:00:00,2064,858
Majestic Princess,Bay Of Islands,ON SCHEDULE,24/11/2019,07:00:00,24/11/2019,17:00:00,3560,1357
Caledonian Sky,Tauranga,ON SCHEDULE,24/11/2019,07:00:00,24/11/2019,22:00:00,114,74
MS Noordam,Tauranga,ON SCHEDULE,24/11/2019,07:45:00,24/11/2019,17:45:00,1972,820
Coral Discoverer,Auckland,ON SCHEDULE,25/11/2019,07:00:00,26/11/2019,17:00:00,72,20
Celebrity Solstice,Fiordland,ON SCHEDULE,25/11/2019,08:00:00,25/11/2019,17:00:00,2850,1250
Ruby Princess,Fiordland,ON SCHEDULE,25/11/2019,07:00:00,25/11/2019,16:00:00,3034,1174
