Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Wedding,Bluff,86,0,Overseas exposure
Marist College,Auckland,85,0, 
Hospitality venue,Matamata,71,1,Overseas exposure
Private function,Auckland,35,0,Unknown
World Hereford Conference,Queenstown,33,0,Overseas exposure
Aged residential care facility (1),Christchurch,33,2,Unknown
Workplace,Auckland,29,0,Unknown
Ruby Princess cruise ship,Hawke’s Bay,18,2,Overseas exposure
Group travel to US,Wellington,16,0,Overseas exposure
Aged residential care facility (2),Christchurch,16,1,Unknown
Group travel to US,Auckland,15,0,Overseas exposure
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Aged residential care facility,Auckland,10,1,Unknown
Workplace,Christchurch,10,1,Overseas exposure
