Cluster under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin
Wedding,Bluff,98,2,61,Overseas exposure
Marist College,Auckland,93,0,82,Unknown
Hospitality Venue,Matamata,76,0,41,Overseas exposure
Aged residential care facility (1),Christchurch,45,2,7,Unknown
World Hereford Conference,Queenstown,39,0,37,Overseas exposure
Private Function,Auckland,38,0,33,Unknown
Community,Auckland,30,0,7,Unknown
Aged residential care facility (1),Auckland,25,0,5,Unknown
Ruby Princess Cruise Ship,Hawke’s Bay,22,0,9,Overseas exposure
Aged residential care facility (2),Christchurch,20,0,9,Unknown
Group travel to US,Wellington,16,0,12,Overseas exposure
Group travel to US,Auckland,16,0,11,Overseas exposure
Aged residential care facility,Waikato,14,0,11,Overseas exposure
Aged residential care facility (2),Auckland,14,0,4,Overseas exposure
Wedding,Wellington,13,0,11,Overseas exposure
Workplace,Christchurch,10,0,9,Overseas exposure
