Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Wedding,Bluff,96,4,Overseas exposure
Marist College,Auckland,92,0, Unknown
Hospitality venue,Matamata,75,1,Overseas exposure
Private function,Auckland,38,-1,Unknown
Aged residential care facility (1),Christchurch,38,2,Unknown
World Hereford Conference,Queenstown,33,0,Overseas exposure
Community,Auckland,30,0,Unknown
Ruby Princess cruise ship,Hawke’s Bay,21,2,Overseas exposure
Aged residential care facility (2),Christchurch,20,1,Unknown
Aged residential care facility (1),Auckland,20,2,Unknown
Group travel to US,Wellington,16,0,Overseas exposure
Group travel to US,Auckland,16,0,Overseas exposure
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Aged residential care facility (2),Auckland,13,3,Overseas exposure
Workplace,Christchurch,10,0,Overseas exposure
