Clusters under investigation,Location,Total to date,New in last 24 hours,Origin
Wedding,Bluff,86,1,Overseas exposure
Marist College,Auckland,85,0, 
Hospitality venue,Matamata,70,0,Overseas exposure
Private function,Auckland,35,0,Unknown
World Hereford Conference,Queenstown,33,0,Overseas exposure
Aged residential care facility (1),Christchurch,31,1,Unknown
Workplace,Auckland,29,1,Unknown
Group travel to US,Wellington,16,0,Overseas exposure
Ruby Princess cruise ship,Hawke’s Bay,16,0,Overseas exposure
Group travel to US,Auckland,15,0,Overseas exposure
Aged residential care facility (2),Christchurch,15,1,Unknown
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
