Clusters under investigation,Location,Total to date,New in last 24 hours
School,Auckland,66,6
Event,Southland,58,3
Workplace,Waikato,56,2
Event,Queenstown,32,0
Workplace,Auckland,16,0
Group travel to US,Wellington,16,3
Cruise ship,Hawke's Bay,16,0
Rest home,Waikato,14,0
Event,Wellington,13,0
Unknown origin,Auckland,13,4
Group travel overseas,Auckland,12,-1 *
Unknown origin,Christchurch,10,0
