Clusters under investigation,Location,Total to date,New cases in last 24 hours,Origin
Wedding,Bluff,96,0,Overseas exposure
Marist College,Auckland,92,0, Unknown
Hospitality venue,Matamata,75,0,Overseas exposure
Aged residential care facility (1),Christchurch,40,2,Unknown
Private function,Auckland,38,0,Unknown
World Hereford Conference,Queenstown,35,2,Overseas exposure
Community,Auckland,30,0,Unknown
Ruby Princess cruise ship,Hawke’s Bay,22,1,Overseas exposure
Aged residential care facility (2),Christchurch,20,0,Unknown
Aged residential care facility (1),Auckland,21,1,Unknown
Group travel to US,Wellington,16,0,Overseas exposure
Group travel to US,Auckland,16,0,Overseas exposure
Aged residential care facility,Waikato,14,0,Overseas exposure
Wedding,Wellington,13,0,Overseas exposure
Aged residential care facility (2),Auckland,14,1,Overseas exposure
Workplace,Christchurch,10,0,Overseas exposure
