Clusters under investigation,Location,Total to date,New cases in last 24 hours,Recovered to date,Origin,Transmission ongoing?*
Wedding,Bluff,98,0,83,Overseas exposure,Yes
Marist College,Auckland,95,1,86,Unknown,Yes
Hospitality Venue,Matamata,76,0,68,Overseas exposure,Yes
Aged residential care facility (1),Christchurch,55,0,26,Unknown,Yes
Aged residential care facility (1),Auckland,44,1,23,Unknown,Yes
Private Function,Auckland,39,0,38,Unknown,Yes
World Hereford Conference,Queenstown,38,0,36,Overseas exposure,Yes
Community,Auckland,30,0,23,Unknown,Yes
Ruby Princess Cruise Ship Cluster,Hawke’s Bay,24,1,15,Overseas exposure,Yes
Aged residential care facility (2),Christchurch,20,0,19,Unknown,Yes
Group travel to US,Wellington,16,0,16,Overseas exposure,Closed
Group travel to US,Auckland,16,0,14,Overseas exposure,Closed
Aged residential care facility,Waikato,15,0,11,Overseas exposure,Yes
Aged residential care facility (2),Auckland,13,0,8,Overseas exposure,Yes
Wedding,Wellington,13,0,13,Overseas exposure,Closed
Workplace,Christchurch,10,0,10,Overseas exposure,Yes
